,locality,country,decimalLatitude,decimalLongitude,eventID
1,Lenakel_Tanna,Vanuatu,-5.963366667,105.8646167,6e48e338b3b2ff57c77d8ec5a83dcbcc
2,Anigua,Guam,13.48062,144.73698,065a7d5493f6fe26e1768d9ab37ee9b0
3,Alam_Kotok,Indonesia,-5.69965,106.5381167,e7b1bc2b09b17cdb6348e524fb3f32fd
4,Yapen-West_tip_of_Serui,Indonesia,-1.905283366,136.2275333,7a9d6b0068b6a550ea4d0e1190096465
5,Sangiang,Indonesia,-5.963366667,105.8646167,529b51e078402a0dd6b287aaf085a6a0
6,Sarawak,Malaysia,6.1,116.08333,f69dd91bdb0763a2bbb4d55b69c6c1fc
7,Sarawak,Malaysia,6.88333,116.83333,6c9d81c99ae5cfb4547a744ece0dddcf
8,Sarawak,Malaysia,6.36667,116.36667,416db41063fa7bbe433df3b4b6a0bfb9
9,Bohol,Philippines,9.95,124.01667,a53390bc75157460f2c23597e1e4bb22
10,Mindoro,Philippines,12.91667,121.46667,50724d762731f5841654c9fbb97064b5
11,Mindoro,Philippines,13.51667,120.96667,11c3b9453719ac24a27303ebb5faaffc
12,Bohol,Philippines,9.58333,123.71667,5f478c31227c9cc6bc52bc1b5ed04282
13,Bohol,Philippines,9.83333,124.16667,65fece0fa73f579139041886346ab94d
14,Huon_Peninsula,Papua_New_Guinea,-6.41667,147.5,4be7b661593277796c64372e3b075467
15,East_Coast_Pk,Singapore,1.36667,103.8,f0d16e79aabb85fa53baadc4884ef6a0
16,Andaman Sea,Thailand,7.88333,98.4,299f9c7fc870d10f7d1077cd7ceaa838
17,Andaman Sea,Thailand,8.03333,98.8,bb8e2e634741666cffb245a53f9886cd
18,Hat_Chaweng,Thailand,9.5,100,6e223d93358c37c5208906b81fce702d
