,Indian Ocean,Pacific Ocean
C,0,1
CI,0,1
CII,0,1
CIII,0,1
CIV,0,1
CIX,1,0
CV,0,1
CVI,0,1
CVII,0,1
CVIII,0,1
CX,1,0
CXI,1,0
CXII,1,0
CXIII,1,0
CXIV,1,0
CXIX,1,0
CXV,1,0
CXVI,1,0
CXVII,1,0
CXVIII,1,0
CXX,0,1
CXXI,0,1
CXXII,0,1
CXXIII,0,1
CXXIV,0,1
CXXV,0,1
I,0,1
II,0,1
III,0,12
IV,0,1
IX,0,1
L,0,1
LI,0,1
LII,0,1
LIII,0,1
LIV,0,1
LIX,0,1
LV,0,1
LVI,0,1
LVII,0,1
LVIII,0,1
LX,0,1
LXI,0,1
LXII,0,1
LXIII,0,1
LXIV,0,1
LXIX,0,1
LXV,0,1
LXVI,0,1
LXVII,0,1
LXVIII,0,1
LXX,0,1
LXXI,0,1
LXXII,0,1
LXXIII,0,1
LXXIV,0,1
LXXIX,0,1
LXXV,0,1
LXXVI,0,1
LXXVII,0,1
LXXVIII,0,1
LXXX,0,1
LXXXI,0,1
LXXXII,0,1
LXXXIII,0,1
LXXXIV,0,1
LXXXIX,0,1
LXXXV,0,1
LXXXVI,0,1
LXXXVII,0,1
LXXXVIII,0,1
V,0,1
VI,0,6
VII,0,1
VIII,0,3
X,0,4
XC,0,1
XCI,0,1
XCII,0,1
XCIII,0,1
XCIV,0,1
XCIX,0,1
XCV,0,1
XCVI,0,1
XCVII,0,1
XCVIII,0,1
XI,0,1
XII,0,1
XIII,0,1
XIV,0,1
XIX,0,8
XL,0,1
XLI,0,1
XLII,0,2
XLIII,0,1
XLIV,0,1
XLIX,0,1
XLV,0,1
XLVI,0,1
XLVII,0,1
XLVIII,0,1
XV,0,1
XVI,0,1
XVII,0,2
XVIII,0,1
XX,0,1
XXI,0,1
XXII,0,1
XXIII,0,1
XXIV,0,1
XXIX,0,1
XXV,0,2
XXVI,0,2
XXVII,0,1
XXVIII,0,1
XXX,0,1
XXXI,0,2
XXXII,0,1
XXXIII,0,3
XXXIV,0,1
XXXIX,0,1
XXXV,0,2
XXXVI,0,2
XXXVII,0,1
XXXVIII,0,1
